Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/cases,4710,0,480,479.745815498873,14.670600008685142,1155.1750000216998,69.0,106.58868395959094,0.0,480,550,600,620,690,760,850,910,1000,1200,1200
GET,/api/v1/cases/{id},1529,0,410,415.2459414641798,9.620500029996037,980.9725999948569,714.0,34.601719272657014,0.0,410,470,500,530,600,660,740,780,950,980,980
POST,/api/v1/cases/{id}/decision,300,0,440,564.4806936662644,10.532099986448884,2557.0155000314116,83.56,6.789088150292417,0.0,440,510,560,600,780,2100,2400,2500,2600,2600,2600
GET,/api/v1/cases?limit=20,3119,0,340,345.97722706070687,8.64070001989603,838.5804000427015,4844.0,70.58388646920683,0.0,340,390,430,450,520,570,630,670,790,840,840
GET,/api/v1/health,1582,0,200,204.69095025232323,3.832200018223375,556.3865999574773,130.71428571428572,35.80112484587534,0.0,200,230,250,270,320,360,410,440,530,560,560
GET,/api/v1/review-tasks,325,0,320,337.46291938757236,12.603900046087801,782.2452000109479,57014.28615384615,7.354845496150118,0.0,320,370,410,440,520,570,640,690,780,780,780
,Aggregated,11565,0,380,395.7161735322766,3.832200018223375,2557.0155000314116,3051.1571984435795,261.71934819377265,0.0,380,460,510,540,620,690,780,860,2300,2500,2600
