Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/cases,4350,0,1900,1703.0309265293752,16.2205999949947,3021.6881000087596,69.0,97.0292396775097,0.0,1900,2000,2100,2100,2300,2400,2500,2600,2900,3000,3000
GET,/api/v1/cases/{id},1286,0,1700,1603.220103887693,12.032800004817545,2576.55060000252,714.0,28.684966028799415,0.0,1700,1800,1900,2000,2100,2200,2300,2300,2600,2600,2600
POST,/api/v1/cases/{id}/decision,300,0,1600,1426.8509813343796,10.924699949100614,2584.387800015975,83.0,6.69167170189722,0.0,1600,1800,2000,2000,2100,2300,2400,2400,2600,2600,2600
GET,/api/v1/cases?limit=20,2921,0,1600,1436.6307273876248,10.210999986156821,2720.772099972237,4844.438548442315,65.15457680413927,0.0,1600,1700,1800,1800,1900,2000,2200,2200,2500,2700,2700
GET,/api/v1/health,1562,0,670,652.7545301532987,4.4507000129669905,1483.966900035739,131.1530089628681,34.84130399454486,0.0,670,750,810,840,930,1000,1100,1100,1400,1500,1500
GET,/api/v1/review-tasks,452,0,1700,1625.3690880531933,26.55910002067685,2492.2535000368953,88219.85840707965,10.082118697525145,0.0,1700,1800,1900,1900,2000,2100,2200,2300,2500,2500,2500
,Aggregated,10871,0,1600,1457.883234017241,4.4507000129669905,3021.6881000087596,5102.943243491859,242.48387690441558,0.0,1600,1800,1900,2000,2100,2300,2400,2500,2800,3000,3000
