Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/cases,1976,61,1700,3264.2131537454843,15.098800009582192,22383.69149999926,68.81477732793522,44.502904974962355,1.3738244956845667,1700,2000,2300,2400,11000,20000,21000,22000,22000,22000,22000
GET,/api/v1/cases/{id},491,15,1400,2743.858594296817,11.960400035604835,22182.55169998156,694.112016293279,11.058161104608562,0.33782569566013937,1400,1700,1900,2200,2800,20000,21000,22000,22000,22000,22000
POST,/api/v1/cases/{id}/decision,254,8,1700,3626.5411373992324,9.717600012663752,22224.62579997955,82.37007874015748,5.72051511317836,0.18017370435207433,1700,2100,2300,2500,12000,21000,21000,22000,22000,22000,22000
GET,/api/v1/cases?limit=20,1402,56,1400,3053.2277791718343,12.104200024623424,22129.99069999205,4653.992867332382,31.575441687701026,1.2612159304645203,1400,1800,2000,2200,11000,20000,21000,22000,22000,22000,22000
GET,/api/v1/health,784,0,630,2291.4594451537355,5.052099993918091,28975.955499976408,131.20663265306123,17.657023026503285,0.0,630,820,950,1100,10000,11000,20000,20000,29000,29000,29000
GET,/api/v1/review-tasks,119,2,1600,2794.7552193292736,21.511700004339218,22124.90950000938,109464.9243697479,2.6800838522371055,0.04504342608801858,1600,1900,2100,2400,8200,12000,21000,21000,22000,22000,22000
,Aggregated,5026,142,1400,3009.9814231993287,5.052099993918091,28975.955499976408,4009.5103461997614,113.19412975919069,3.198083252249319,1400,1800,2100,2300,11000,20000,21000,22000,22000,29000,29000
