Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/cases,2405,0,64,68.21860827456214,14.908500015735626,308.54910000925884,69.0,54.41906853703635,0.0,64,68,70,73,81,94,130,170,290,310,310
GET,/api/v1/cases/{id},821,0,15,18.813208770035253,8.883500006049871,191.6221000137739,724.9963459196102,18.577153957965425,0.0,15,18,20,22,28,35,54,93,190,190,190
POST,/api/v1/cases/{id}/decision,273,0,110,120.23635091615718,60.52649999037385,355.10089999297634,90.0,6.177299671771694,0.0,110,130,140,140,170,200,310,350,360,360,360
GET,/api/v1/cases?limit=20,1701,0,14,18.4216213405123,7.651599997188896,237.5346000189893,4843.313345091123,38.48932872411594,0.0,14,17,19,21,27,35,60,120,240,240,240
GET,/api/v1/health,845,0,7,10.515273726798771,3.2689999788999557,242.1891000121832,129.02958579881656,19.12021326976953,0.0,7,9,11,12,17,21,34,52,240,240,240
GET,/api/v1/review-tasks,102,0,16,22.42114313640723,11.490799952298403,224.82719999970868,44856.75490196078,2.308002075167446,0.0,17,20,22,24,30,38,100,110,220,220,220
,Aggregated,6147,0,23,41.45818478931214,3.2689999788999557,355.10089999297634,2230.1337237676917,139.0910662358264,0.0,23,60,64,67,76,98,140,180,310,360,360
